Sequence,CH1,CH2,Bfield
555,4.24,-2.0,0.0002544
556,4.0,-2.0,0.00023999999999999998
557,4.32,-1.2,0.0002592
558,4.08,-1.2,0.0002448
559,4.32,-2.0,0.0002592
560,4.32,-1.4,0.0002592
561,4.08,-2.0,0.0002448
562,4.32,-2.0,0.0002592
563,4.08,-1.2,0.0002448
564,4.08,-1.4,0.0002448
565,4.32,-2.0,0.0002592
566,4.08,-1.4,0.0002448
567,4.4,-2.0,0.000264
568,4.16,-2.0,0.0002496
569,4.4,-1.2,0.000264
570,4.4,-1.2,0.000264
571,4.16,-2.0,0.0002496
572,4.4,-1.4,0.000264
573,4.16,-2.0,0.0002496
574,4.16,-2.0,0.0002496
575,4.4,-1.2,0.000264
576,4.24,-1.4,0.0002544
577,4.48,-2.0,0.0002688
578,4.24,-1.8,0.0002544
579,4.48,-1.2,0.0002688
580,4.48,-1.2,0.0002688
581,4.24,-2.0,0.0002544
582,4.48,-2.0,0.0002688
583,4.24,-1.2,0.0002544
584,4.48,-1.2,0.0002688
585,4.24,-2.0,0.0002544
586,4.24,-2.0,0.0002544
587,4.56,-1.4,0.0002736
588,4.24,-2.0,0.0002544
589,4.64,-1.2,0.00027839999999999994
590,4.64,-1.2,0.00027839999999999994
591,4.32,-2.0,0.0002592
592,4.64,-2.0,0.00027839999999999994
593,4.32,-1.2,0.0002592
594,4.32,-1.2,0.0002592
595,4.72,-2.0,0.00028319999999999994
596,4.4,-1.2,0.000264
597,4.72,-2.0,0.00028319999999999994
598,4.48,-1.8,0.0002688
599,4.72,-1.2,0.00028319999999999994
600,4.72,-1.2,0.00028319999999999994
601,4.4,-2.0,0.000264
602,4.72,-1.8,0.00028319999999999994
603,4.4,-1.2,0.000264
604,4.4,-1.8,0.000264
605,4.72,-1.2,0.00028319999999999994
606,4.48,-2.0,0.0002688
607,4.8,-1.2,0.00028799999999999995
608,4.8,-1.8,0.00028799999999999995
609,4.56,-1.2,0.0002736
610,4.8,-1.2,0.00028799999999999995
611,4.56,-2.0,0.0002736
612,4.56,-2.0,0.0002736
613,4.8,-1.2,0.00028799999999999995
614,4.56,-1.8,0.0002736
615,4.8,-1.2,0.00028799999999999995
616,4.56,-1.8,0.0002736
617,4.88,-1.2,0.00029279999999999996
618,4.88,-1.4,0.00029279999999999996
619,4.64,-1.8,0.00027839999999999994
620,4.88,-1.0,0.00029279999999999996
621,4.64,-1.8,0.00027839999999999994
622,4.64,-1.0,0.00027839999999999994
623,4.88,-1.8,0.00029279999999999996
624,4.64,-1.2,0.00027839999999999994
625,4.96,-1.8,0.00029759999999999997
626,4.64,-1.4,0.00027839999999999994
627,4.96,-2.0,0.00029759999999999997
628,4.96,-1.8,0.00029759999999999997
629,4.72,-1.2,0.00028319999999999994
630,4.96,-1.0,0.00029759999999999997
631,4.72,-1.8,0.00028319999999999994
632,4.96,-1.2,0.00029759999999999997
633,4.72,-2.0,0.00028319999999999994
634,4.72,-1.8,0.00028319999999999994
635,5.04,-1.2,0.0003024
636,5.04,-1.8,0.0003024
637,4.72,-1.2,0.00028319999999999994
638,4.8,-1.8,0.00028799999999999995
639,5.04,-1.2,0.0003024
640,5.04,-1.2,0.0003024
641,4.8,-1.8,0.00028799999999999995
642,4.8,-1.8,0.00028799999999999995
643,5.04,-1.2,0.0003024
644,4.8,-1.2,0.00028799999999999995
645,5.04,-1.8,0.0003024
646,5.12,-1.0,0.0003072
647,4.8,-2.0,0.00028799999999999995
648,4.88,-1.8,0.00029279999999999996
649,5.12,-1.0,0.0003072
650,5.12,-1.6,0.0003072
651,4.88,-1.0,0.00029279999999999996
652,4.88,-1.8,0.00029279999999999996
653,5.12,-1.0,0.0003072
654,4.88,-1.2,0.00029279999999999996
655,5.2,-1.8,0.000312
656,4.88,-1.0,0.00029279999999999996
657,5.2,-1.8,0.000312
658,5.2,-1.0,0.000312
659,4.96,-2.0,0.00029759999999999997
660,5.2,-1.8,0.000312
661,4.96,-1.0,0.00029759999999999997
662,4.96,-1.0,0.00029759999999999997
663,5.2,-1.8,0.000312
664,4.96,-1.8,0.00029759999999999997
665,5.28,-1.0,0.0003168
666,4.96,-1.0,0.00029759999999999997
667,5.36,-2.0,0.0003216
668,4.96,-1.8,0.00029759999999999997
669,5.36,-1.2,0.0003216
670,5.36,-1.8,0.0003216
671,5.04,-1.2,0.0003024
672,5.28,-1.2,0.0003168
673,5.04,-1.8,0.0003024
674,5.04,-1.8,0.0003024
675,5.36,-1.2,0.0003216
676,5.04,-1.2,0.0003024
677,5.44,-1.8,0.0003264
678,5.44,-1.2,0.0003264
679,5.2,-1.8,0.000312
680,5.44,-1.8,0.0003264
681,5.12,-1.0,0.0003072
682,5.12,-1.8,0.0003072
683,5.52,-1.0,0.0003311999999999999
684,5.12,-1.8,0.0003072
685,5.52,-1.0,0.0003311999999999999
686,5.52,-1.8,0.0003311999999999999
687,5.2,-1.0,0.000312
688,5.52,-1.8,0.0003311999999999999
689,5.28,-1.2,0.0003168
690,5.52,-1.6,0.0003311999999999999
691,5.28,-1.0,0.0003168
692,5.28,-1.0,0.0003168
693,5.6,-2.0,0.000336
694,5.28,-1.2,0.0003168
695,5.52,-1.8,0.0003311999999999999
696,5.28,-1.8,0.0003168
697,5.6,-1.0,0.000336
698,5.6,-1.2,0.000336
699,5.36,-1.8,0.0003216
700,5.36,-1.8,0.0003216
701,5.6,-1.0,0.000336
702,5.36,-1.0,0.0003216
703,5.6,-1.8,0.000336
704,5.36,-1.8,0.0003216
705,5.68,-1.0,0.00034079999999999994
706,5.36,-1.8,0.0003216
707,5.68,-1.2,0.00034079999999999994
708,5.68,-1.8,0.00034079999999999994
709,5.44,-1.0,0.0003264
710,5.44,-1.8,0.0003264
711,5.68,-1.2,0.00034079999999999994
712,5.44,-1.0,0.0003264
713,5.68,-2.0,0.00034079999999999994
714,5.76,-1.8,0.00034559999999999994
715,5.44,-1.0,0.0003264
716,5.44,-1.2,0.0003264
717,5.76,-1.8,0.00034559999999999994
718,5.76,-1.2,0.00034559999999999994
719,5.52,-1.8,0.0003311999999999999
720,5.52,-1.8,0.0003311999999999999
721,5.76,-1.2,0.00034559999999999994
