Sequence,CH1,CH2,voltage,Bfield,CH2norm,time
278,0.566,0.101,207.6,0.00038441396363636364,0.8591549295774665,1.3900000000000001
279,0.556,0.101,207.6,0.0003838139636363637,0.8591549295774665,1.395
280,0.564,0.101,207.6,0.00038429396363636365,0.8591549295774665,1.4000000000000001
281,0.558,0.1,207.6,0.00038393396363636367,0.7183098591549311,1.405
282,0.566,0.101,207.6,0.00038441396363636364,0.8591549295774665,1.41
283,0.556,0.1,207.6,0.0003838139636363637,0.7183098591549311,1.415
284,0.566,0.1,207.6,0.00038441396363636364,0.7183098591549311,1.42
285,0.554,0.101,207.6,0.0003836939636363637,0.8591549295774665,1.425
286,0.566,0.101,207.6,0.00038441396363636364,0.8591549295774665,1.43
287,0.556,0.1,207.6,0.0003838139636363637,0.7183098591549311,1.435
288,0.568,0.101,207.6,0.0003845339636363637,0.8591549295774665,1.44
289,0.554,0.1,207.6,0.0003836939636363637,0.7183098591549311,1.445
290,0.556,0.1,207.6,0.0003838139636363637,0.7183098591549311,1.45
291,0.57,0.0997,207.6,0.0003846539636363637,0.6760563380281693,1.455
292,0.57,0.0996,207.6,0.0003846539636363637,0.6619718309859154,1.46
293,0.556,0.0999,207.6,0.0003838139636363637,0.7042253521126771,1.465
294,0.556,0.0996,207.6,0.0003838139636363637,0.6619718309859154,1.47
295,0.568,0.0992,207.6,0.0003845339636363637,0.6056338028169016,1.475
296,0.57,0.0994,207.6,0.0003846539636363637,0.6338028169014095,1.48
297,0.556,0.0988,207.6,0.0003838139636363637,0.5492957746478878,1.485
298,0.57,0.0991,207.6,0.0003846539636363637,0.5915492957746477,1.49
299,0.558,0.0987,207.6,0.00038393396363636367,0.5352112676056339,1.495
300,0.572,0.0993,207.6,0.00038477396363636367,0.6197183098591555,1.5
301,0.558,0.0986,207.6,0.00038393396363636367,0.5211267605633799,1.5050000000000001
302,0.57,0.0986,207.6,0.0003846539636363637,0.5211267605633799,1.51
